code,status,name,latitude,longitude,altitude,installation_height,timezone
TA00818,1,INNOVACC Bang,9.8724541,13.9838181,331.0,2.0,Africa/Lagos
TA00819,1,INNOVACC Gambour,10.2121005,14.5260653,403.0,2.0,Africa/Lagos
TA00820,1,INNOVACC Tolloré,8.448789,14.2038692,348.0,2.0,Africa/Lagos
TA00821,1,Wondo Genet College,7.102169,38.626325,1790.0,2.0,Africa/Nairobi
TA00822,1,Enarau Conservancy ,-1.0078587,35.334261,1789.0,2.0,Africa/Nairobi
TA00823,1,Enonkishu Conservancy,-1.0761066,35.2853231,1774.0,2.0,Africa/Nairobi
TA00824,1,Lemek Conservancy,-1.1345097,35.2035116,1710.0,2.0,Africa/Nairobi
TA00825,1,Mara North Conservancy (Naishi),-1.1642365,35.2990749,1852.0,2.0,Africa/Nairobi
TA00826,1,Mara North Conservancy (Nkorobob),-1.3058739,35.1186209,1569.0,2.0,Africa/Nairobi
TA00827,1,Olderkesi Conservancy,-1.6829133,35.347052,1775.0,2.0,Africa/Nairobi
TA00828,1,PCA Pardamat Conservancy,-1.238264,35.3380451,1824.0,2.0,Africa/Nairobi
TA00829,1,Olkinyei Conservancy,-1.353287,35.4366547,1816.0,2.0,Africa/Nairobi
TA00830,1,Mara Siana Conservancy,-1.5239872,35.3471716,1762.0,2.0,Africa/Nairobi
TA00831,1,Mara Repoi,-1.5410115,35.4974933,1919.0,2.0,Africa/Nairobi
TA00832,1,Santa Cecilia,11.0622086,-85.4151637,346.0,2.0,America/Costa_Rica
TA00833,1,Kimentet Hq,-1.2133147,34.9995108,1841.0,2.0,Africa/Nairobi
TA00834,1,Olchorro Rhino,-1.1107933,35.2536368,1860.0,2.0,Africa/Nairobi
TA00835,1,Olare Orok HQ,-1.3638487,35.2335349,1686.0,2.0,Africa/Nairobi
TA00836,1,Naboisho Olesere Post,-1.3489054,35.3613555,1776.0,2.0,Africa/Nairobi
TA00837,1,Isaaten Control,-1.504754,35.3768196,1791.0,2.0,Africa/Nairobi
TA00838,1,Loita Hills Alpha Post,-1.3633596,35.6891005,2040.0,2.0,Africa/Nairobi
TA00839,1,MMWCA Headquarters ,-1.1822437,35.2532125,1818.0,2.0,Africa/Nairobi
